Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-05-17T23:13:51-04:00
Running ./build/benchmark/benchmarks/benchmarks
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 16.98, 8.56, 7.57
----------------------------------------------------------------------------------------------------
Benchmark                                          Time             CPU   Iterations UserCounters...
bm_refract<Vector4f>                            1.94 ns         1.94 ns     72217064
bm_lerp<Vector4f>                              0.337 ns        0.337 ns    418422547
bm_clamp<Vector4f>                             0.459 ns        0.458 ns    304645849
bm_saturate<Vector4f>                          0.300 ns        0.300 ns    465952207
bm_cwise_min<Vector4f>                         0.300 ns        0.299 ns    469090300
bm_cwise_max<Vector4f>                         0.301 ns        0.300 ns    467726848
bm_dot_batch<Vector4f>                           899 ns          898 ns       155893 items_per_second=1.13986G/s
bm_dot<Vector4d>                               0.568 ns        0.567 ns    248809270
bm_add<Vector4d>                               0.468 ns        0.457 ns    313164076
bm_sub<Vector4d>                               0.451 ns        0.450 ns    312221231
bm_scalar_mul<Vector4d>                        0.380 ns        0.379 ns    371687994
bm_scalar_div<Vector4d>                        0.601 ns        0.601 ns    231837978
bm_length<Vector4d>                            0.598 ns        0.598 ns    232222536
bm_squared_length<Vector4d>                    0.412 ns        0.411 ns    339731612
bm_normalize<Vector4d>                          1.58 ns         1.58 ns     88877603
bm_reflect_chain<Vector4d>                     0.842 ns        0.842 ns    166389351
bm_reflect<Vector4d>                           0.841 ns        0.840 ns    166256962
bm_refract<Vector4d>                            2.06 ns         2.06 ns     68463006
bm_lerp<Vector4d>                              0.561 ns        0.561 ns    244682524
bm_clamp<Vector4d>                             0.779 ns        0.778 ns    182443703
bm_saturate<Vector4d>                          0.377 ns        0.376 ns    374943089
bm_cwise_min<Vector4d>                         0.451 ns        0.450 ns    308390422
bm_cwise_max<Vector4d>                         0.449 ns        0.449 ns    310476359
bm_dot_batch<Vector4d>                           924 ns          923 ns       152574 items_per_second=1.10909G/s
bm_cross<Vector3f>                             0.693 ns        0.692 ns    197944208
bm_cross<Vector3d>                             0.752 ns        0.740 ns    202572673
